goal_id,match_id,match_name,tournament_id,tournament_name,team_id,home_team,away_team,player_id,player_team_id,minute_label,minute_regulation,minute_stoppage,match_period,own_goal,penalty
G-0001,M-1930-01,France v Mexico,WC-1930,1930 FIFA World Cup,T-28,1,0,P-09831,T-28,19',19,0,first half,0,0
G-0002,M-1930-01,France v Mexico,WC-1930,1930 FIFA World Cup,T-28,1,0,P-05670,T-28,40',40,0,first half,0,0
G-0003,M-1930-01,France v Mexico,WC-1930,1930 FIFA World Cup,T-28,1,0,P-07295,T-28,43',43,0,first half,0,0
G-0004,M-1930-01,France v Mexico,WC-1930,1930 FIFA World Cup,T-28,1,0,P-07295,T-28,87',87,0,second half,0,0
G-0005,M-1930-01,France v Mexico,WC-1930,1930 FIFA World Cup,T-44,0,1,P-03952,T-44,70',70,0,second half,0,0
G-0006,M-1930-02,United States v Belgium,WC-1930,1930 FIFA World Cup,T-79,1,0,P-09935,T-79,23',23,0,first half,0,0
G-0007,M-1930-02,United States v Belgium,WC-1930,1930 FIFA World Cup,T-79,1,0,P-06672,T-79,45',45,0,first half,0,0
G-0008,M-1930-02,United States v Belgium,WC-1930,1930 FIFA World Cup,T-79,1,0,P-09215,T-79,69',69,0,second half,0,0
G-0009,M-1930-03,Yugoslavia v Brazil,WC-1930,1930 FIFA World Cup,T-83,1,0,P-00319,T-83,21',21,0,first half,0,0
G-0010,M-1930-03,Yugoslavia v Brazil,WC-1930,1930 FIFA World Cup,T-83,1,0,P-06435,T-83,30',30,0,first half,0,0
G-0011,M-1930-03,Yugoslavia v Brazil,WC-1930,1930 FIFA World Cup,T-09,0,1,P-03855,T-09,62',62,0,second half,0,0
G-0012,M-1930-04,Romania v Peru,WC-1930,1930 FIFA World Cup,T-58,1,0,P-00978,T-58,1',1,0,first half,0,0
G-0013,M-1930-04,Romania v Peru,WC-1930,1930 FIFA World Cup,T-58,1,0,P-04102,T-58,79',79,0,second half,0,0
G-0014,M-1930-04,Romania v Peru,WC-1930,1930 FIFA World Cup,T-58,1,0,P-02034,T-58,89',89,0,second half,0,0
G-0015,M-1930-04,Romania v Peru,WC-1930,1930 FIFA World Cup,T-54,0,1,P-00521,T-54,75',75,0,second half,0,0
G-0016,M-1930-05,Argentina v France,WC-1930,1930 FIFA World Cup,T-03,1,0,P-03789,T-03,81',81,0,second half,0,0
G-0017,M-1930-06,Chile v Mexico,WC-1930,1930 FIFA World Cup,T-13,1,0,P-04216,T-13,3',3,0,first half,0,0
G-0018,M-1930-06,Chile v Mexico,WC-1930,1930 FIFA World Cup,T-13,1,0,P-04216,T-13,65',65,0,second half,0,0
G-0019,M-1930-06,Chile v Mexico,WC-1930,1930 FIFA World Cup,T-13,1,0,P-04652,T-44,52',52,0,second half,1,0
G-0020,M-1930-07,Yugoslavia v Bolivia,WC-1930,1930 FIFA World Cup,T-83,1,0,P-06435,T-83,60',60,0,second half,0,0
G-0021,M-1930-07,Yugoslavia v Bolivia,WC-1930,1930 FIFA World Cup,T-83,1,0,P-06435,T-83,67',67,0,second half,0,0
G-0022,M-1930-07,Yugoslavia v Bolivia,WC-1930,1930 FIFA World Cup,T-83,1,0,P-00296,T-83,65',65,0,second half,0,0
G-0023,M-1930-07,Yugoslavia v Bolivia,WC-1930,1930 FIFA World Cup,T-83,1,0,P-03989,T-83,85',85,0,second half,0,0
G-0024,M-1930-08,United States v Paraguay,WC-1930,1930 FIFA World Cup,T-79,1,0,P-09215,T-79,10',10,0,first half,0,0
G-0025,M-1930-08,United States v Paraguay,WC-1930,1930 FIFA World Cup,T-79,1,0,P-09215,T-79,15',15,0,first half,0,0
G-0026,M-1930-08,United States v Paraguay,WC-1930,1930 FIFA World Cup,T-79,1,0,P-09215,T-79,50',50,0,second half,0,0
G-0027,M-1930-09,Uruguay v Peru,WC-1930,1930 FIFA World Cup,T-80,1,0,P-00826,T-80,65',65,0,second half,0,0
G-0028,M-1930-10,Chile v France,WC-1930,1930 FIFA World Cup,T-13,1,0,P-04702,T-13,67',67,0,second half,0,0
G-0029,M-1930-11,Argentina v Mexico,WC-1930,1930 FIFA World Cup,T-03,1,0,P-04418,T-03,8',8,0,first half,0,0
G-0030,M-1930-11,Argentina v Mexico,WC-1930,1930 FIFA World Cup,T-03,1,0,P-04418,T-03,17',17,0,first half,0,0
G-0031,M-1930-11,Argentina v Mexico,WC-1930,1930 FIFA World Cup,T-03,1,0,P-04418,T-03,80',80,0,second half,0,0
G-0032,M-1930-11,Argentina v Mexico,WC-1930,1930 FIFA World Cup,T-03,1,0,P-00455,T-03,12',12,0,first half,0,0
G-0033,M-1930-11,Argentina v Mexico,WC-1930,1930 FIFA World Cup,T-03,1,0,P-00455,T-03,55',55,0,second half,0,0
G-0034,M-1930-11,Argentina v Mexico,WC-1930,1930 FIFA World Cup,T-03,1,0,P-00290,T-03,53',53,0,second half,0,0
G-0035,M-1930-11,Argentina v Mexico,WC-1930,1930 FIFA World Cup,T-44,0,1,P-04652,T-44,42',42,0,first half,0,1
G-0036,M-1930-11,Argentina v Mexico,WC-1930,1930 FIFA World Cup,T-44,0,1,P-04652,T-44,65',65,0,second half,0,0
G-0037,M-1930-11,Argentina v Mexico,WC-1930,1930 FIFA World Cup,T-44,0,1,P-04746,T-44,75',75,0,second half,0,0
G-0038,M-1930-12,Brazil v Bolivia,WC-1930,1930 FIFA World Cup,T-09,1,0,P-04578,T-09,37',37,0,first half,0,0
G-0039,M-1930-12,Brazil v Bolivia,WC-1930,1930 FIFA World Cup,T-09,1,0,P-04578,T-09,73',73,0,second half,0,0
G-0040,M-1930-12,Brazil v Bolivia,WC-1930,1930 FIFA World Cup,T-09,1,0,P-03855,T-09,57',57,0,second half,0,0
G-0041,M-1930-12,Brazil v Bolivia,WC-1930,1930 FIFA World Cup,T-09,1,0,P-03855,T-09,83',83,0,second half,0,0
G-0042,M-1930-13,Paraguay v Belgium,WC-1930,1930 FIFA World Cup,T-53,1,0,P-06978,T-53,40',40,0,first half,0,0
G-0043,M-1930-14,Uruguay v Romania,WC-1930,1930 FIFA World Cup,T-80,1,0,P-00275,T-80,7',7,0,first half,0,0
G-0044,M-1930-14,Uruguay v Romania,WC-1930,1930 FIFA World Cup,T-80,1,0,P-02775,T-80,26',26,0,first half,0,0
G-0045,M-1930-14,Uruguay v Romania,WC-1930,1930 FIFA World Cup,T-80,1,0,P-08997,T-80,31',31,0,first half,0,0
