match_id,tournament_id,manager_id
M-1930-01,WC-1930,M-054
M-1930-01,WC-1930,M-175
M-1930-02,WC-1930,M-200
M-1930-02,WC-1930,M-099
M-1930-03,WC-1930,M-303
M-1930-03,WC-1930,M-067
M-1930-04,WC-1930,M-260
M-1930-04,WC-1930,M-041
M-1930-05,WC-1930,M-222
M-1930-05,WC-1930,M-325
M-1930-05,WC-1930,M-054
M-1930-06,WC-1930,M-228
M-1930-06,WC-1930,M-175
M-1930-07,WC-1930,M-303
M-1930-07,WC-1930,M-290
M-1930-08,WC-1930,M-200
M-1930-08,WC-1930,M-079
M-1930-09,WC-1930,M-313
M-1930-09,WC-1930,M-041
M-1930-10,WC-1930,M-228
M-1930-10,WC-1930,M-054
M-1930-11,WC-1930,M-222
M-1930-11,WC-1930,M-325
M-1930-11,WC-1930,M-175
M-1930-12,WC-1930,M-067
M-1930-12,WC-1930,M-290
M-1930-13,WC-1930,M-079
M-1930-13,WC-1930,M-099
M-1930-14,WC-1930,M-313
M-1930-14,WC-1930,M-260
M-1930-15,WC-1930,M-222
M-1930-15,WC-1930,M-325
M-1930-15,WC-1930,M-228
M-1930-16,WC-1930,M-222
M-1930-16,WC-1930,M-325
M-1930-16,WC-1930,M-200
M-1930-17,WC-1930,M-313
M-1930-17,WC-1930,M-303
M-1930-18,WC-1930,M-313
M-1930-18,WC-1930,M-222
M-1930-18,WC-1930,M-325
M-1934-01,WC-1934,M-188
M-1934-01,WC-1934,M-147
M-1934-02,WC-1934,M-242
M-1934-02,WC-1934,M-260
M-1934-02,WC-1934,M-329
M-1934-03,WC-1934,M-216
M-1934-03,WC-1934,M-099
M-1934-04,WC-1934,M-211
M-1934-04,WC-1934,M-187
M-1934-05,WC-1934,M-253
M-1934-05,WC-1934,M-104
M-1934-06,WC-1934,M-093
M-1934-06,WC-1934,M-343
M-1934-07,WC-1934,M-243
M-1934-07,WC-1934,M-235
M-1934-08,WC-1934,M-207
M-1934-08,WC-1934,M-095
M-1934-09,WC-1934,M-188
M-1934-09,WC-1934,M-211
M-1934-10,WC-1934,M-242
M-1934-10,WC-1934,M-207
M-1934-11,WC-1934,M-216
M-1934-11,WC-1934,M-243
M-1934-12,WC-1934,M-253
M-1934-12,WC-1934,M-093
M-1934-13,WC-1934,M-253
M-1934-13,WC-1934,M-093
M-1934-14,WC-1934,M-242
M-1934-14,WC-1934,M-216
M-1934-15,WC-1934,M-253
M-1934-15,WC-1934,M-188
M-1934-16,WC-1934,M-216
M-1934-16,WC-1934,M-188
M-1934-17,WC-1934,M-253
M-1934-17,WC-1934,M-242
M-1938-01,WC-1938,M-264
M-1938-01,WC-1938,M-114
M-1938-02,WC-1938,M-318
M-1938-02,WC-1938,M-260
M-1938-02,WC-1938,M-291
M-1938-03,WC-1938,M-019
M-1938-03,WC-1938,M-046
M-1938-04,WC-1938,M-074
M-1938-04,WC-1938,M-293
M-1938-04,WC-1938,M-183
M-1938-05,WC-1938,M-253
M-1938-05,WC-1938,M-111
M-1938-06,WC-1938,M-247
M-1938-06,WC-1938,M-137
M-1938-07,WC-1938,M-189
M-1938-07,WC-1938,M-095
M-1938-08,WC-1938,M-318
M-1938-08,WC-1938,M-260
M-1938-08,WC-1938,M-291
M-1938-09,WC-1938,M-264
M-1938-09,WC-1938,M-114
M-1938-10,WC-1938,M-247
M-1938-10,WC-1938,M-189
M-1938-11,WC-1938,M-074
M-1938-11,WC-1938,M-293
M-1938-11,WC-1938,M-264
M-1938-12,WC-1938,M-253
M-1938-12,WC-1938,M-019
M-1938-13,WC-1938,M-212
M-1938-13,WC-1938,M-318
M-1938-14,WC-1938,M-247
M-1938-14,WC-1938,M-189
M-1938-15,WC-1938,M-074
M-1938-15,WC-1938,M-293
M-1938-15,WC-1938,M-212
M-1938-16,WC-1938,M-253
M-1938-16,WC-1938,M-247
M-1938-17,WC-1938,M-247
M-1938-17,WC-1938,M-212
M-1938-18,WC-1938,M-253
M-1938-18,WC-1938,M-074
M-1938-18,WC-1938,M-293
M-1950-01,WC-1950,M-062
M-1950-01,WC-1950,M-337
M-1950-02,WC-1950,M-016
M-1950-02,WC-1950,M-010
M-1950-03,WC-1950,M-354
M-1950-03,WC-1950,M-043
M-1950-04,WC-1950,M-080
M-1950-04,WC-1950,M-132
M-1950-05,WC-1950,M-266
M-1950-05,WC-1950,M-220
M-1950-06,WC-1950,M-062
M-1950-06,WC-1950,M-010
M-1950-07,WC-1950,M-016
M-1950-07,WC-1950,M-337
M-1950-08,WC-1950,M-080
M-1950-08,WC-1950,M-043
M-1950-09,WC-1950,M-132
M-1950-09,WC-1950,M-354
M-1950-10,WC-1950,M-266
M-1950-10,WC-1950,M-090
M-1950-11,WC-1950,M-062
M-1950-11,WC-1950,M-016
M-1950-12,WC-1950,M-043
M-1950-12,WC-1950,M-132
M-1950-13,WC-1950,M-080
M-1950-13,WC-1950,M-354
M-1950-14,WC-1950,M-220
M-1950-14,WC-1950,M-090
M-1950-15,WC-1950,M-170
M-1950-15,WC-1950,M-255
M-1950-16,WC-1950,M-010
M-1950-16,WC-1950,M-337
M-1950-17,WC-1950,M-062
M-1950-17,WC-1950,M-266
M-1950-18,WC-1950,M-170
M-1950-18,WC-1950,M-080
M-1950-19,WC-1950,M-062
M-1950-19,WC-1950,M-080
M-1950-20,WC-1950,M-170
M-1950-20,WC-1950,M-266
M-1950-21,WC-1950,M-266
M-1950-21,WC-1950,M-080
M-1950-22,WC-1950,M-170
M-1950-22,WC-1950,M-062
M-1954-01,WC-1954,M-205
M-1954-01,WC-1954,M-171
M-1954-02,WC-1954,M-322
M-1954-02,WC-1954,M-245
M-1954-03,WC-1954,M-213
M-1954-03,WC-1954,M-023
M-1954-04,WC-1954,M-170
M-1954-04,WC-1954,M-036
M-1954-05,WC-1954,M-264
M-1954-05,WC-1954,M-065
M-1954-06,WC-1954,M-298
M-1954-06,WC-1954,M-146
M-1954-07,WC-1954,M-114
M-1954-07,WC-1954,M-258
M-1954-08,WC-1954,M-354
M-1954-08,WC-1954,M-167
M-1954-09,WC-1954,M-170
M-1954-09,WC-1954,M-023
M-1954-10,WC-1954,M-205
M-1954-10,WC-1954,M-322
M-1954-11,WC-1954,M-213
M-1954-11,WC-1954,M-036
M-1954-12,WC-1954,M-245
M-1954-12,WC-1954,M-171
M-1954-13,WC-1954,M-298
M-1954-13,WC-1954,M-114
M-1954-14,WC-1954,M-258
M-1954-14,WC-1954,M-146
M-1954-15,WC-1954,M-065
M-1954-15,WC-1954,M-167
M-1954-16,WC-1954,M-354
M-1954-16,WC-1954,M-264
M-1954-17,WC-1954,M-114
M-1954-17,WC-1954,M-258
M-1954-18,WC-1954,M-264
M-1954-18,WC-1954,M-065
M-1954-19,WC-1954,M-213
M-1954-19,WC-1954,M-264
M-1954-20,WC-1954,M-170
M-1954-20,WC-1954,M-354
M-1954-21,WC-1954,M-298
M-1954-21,WC-1954,M-205
M-1954-22,WC-1954,M-114
M-1954-22,WC-1954,M-322
M-1954-23,WC-1954,M-298
M-1954-23,WC-1954,M-170
M-1954-24,WC-1954,M-114
M-1954-24,WC-1954,M-213
M-1954-25,WC-1954,M-213
M-1954-25,WC-1954,M-170
M-1954-26,WC-1954,M-114
M-1954-26,WC-1954,M-298
M-1958-01,WC-1958,M-266
M-1958-01,WC-1958,M-171
M-1958-02,WC-1958,M-309
M-1958-02,WC-1958,M-114
M-1958-03,WC-1958,M-075
M-1958-03,WC-1958,M-149
M-1958-04,WC-1958,M-021
M-1958-04,WC-1958,M-102
M-1958-05,WC-1958,M-322
M-1958-05,WC-1958,M-044
M-1958-05,WC-1958,M-349
M-1958-06,WC-1958,M-018
M-1958-06,WC-1958,M-209
M-1958-07,WC-1958,M-086
M-1958-07,WC-1958,M-015
M-1958-08,WC-1958,M-136
M-1958-08,WC-1958,M-354
M-1958-09,WC-1958,M-309
M-1958-09,WC-1958,M-075
M-1958-10,WC-1958,M-114
M-1958-10,WC-1958,M-149
M-1958-11,WC-1958,M-102
M-1958-11,WC-1958,M-044
M-1958-11,WC-1958,M-349
M-1958-12,WC-1958,M-322
M-1958-12,WC-1958,M-021
M-1958-13,WC-1958,M-171
M-1958-13,WC-1958,M-209
M-1958-14,WC-1958,M-086
M-1958-14,WC-1958,M-354
M-1958-15,WC-1958,M-136
M-1958-15,WC-1958,M-015
M-1958-16,WC-1958,M-266
M-1958-16,WC-1958,M-018
M-1958-17,WC-1958,M-266
M-1958-17,WC-1958,M-209
M-1958-18,WC-1958,M-149
M-1958-18,WC-1958,M-309
M-1958-19,WC-1958,M-114
M-1958-19,WC-1958,M-075
M-1958-20,WC-1958,M-021
M-1958-20,WC-1958,M-044
M-1958-20,WC-1958,M-349
M-1958-21,WC-1958,M-102
M-1958-21,WC-1958,M-322
M-1958-22,WC-1958,M-018
M-1958-22,WC-1958,M-171
M-1958-23,WC-1958,M-086
M-1958-23,WC-1958,M-136
