manager_id,lastname,firstname,country_name,manager_wikipedia_link
M-001,Acosta,Nelson,Uruguay,https://en.wikipedia.org/wiki/Nelson_Acosta
M-002,Adshead,John,England,https://en.wikipedia.org/wiki/John_Adshead
M-003,Advocaat,Dick,Netherlands,https://en.wikipedia.org/wiki/Dick_Advocaat
M-004,Aguirre,Javier,Mexico,https://en.wikipedia.org/wiki/Javier_Aguirre
M-005,Al-Gohari,Mahmoud,Egypt,https://en.wikipedia.org/wiki/Mahmoud_Al-Gohari
M-006,Al-Johar,Nasser,Saudi Arabia,https://en.wikipedia.org/wiki/Nasser_Al-Johar
M-007,Al-Kharashy,Mohammed,Brazil,https://en.wikipedia.org/wiki/Mohammed_Al-Kharashy
M-008,Álamos,Luis,Chile,https://en.wikipedia.org/wiki/Luis_%C3%81lamos
M-009,Andersson,Janne,Sweden,https://en.wikipedia.org/wiki/Janne_Andersson
M-010,Andreoli,Franco,Switzerland,https://en.wikipedia.org/wiki/Franco_Andreoli
M-011,Antić,Radomir,Serbia,https://en.wikipedia.org/wiki/Radomir_Anti%C4%87
M-012,Appiah,James Kwesi,Ghana,https://en.wikipedia.org/wiki/James_Kwesi_Appiah
M-013,Aragonés,Luis,Spain,https://en.wikipedia.org/wiki/Luis_Aragon%C3%A9s
M-014,Arena,Bruce,United States,https://en.wikipedia.org/wiki/Bruce_Arena
M-015,Argauer,Karl,Austria,https://en.wikipedia.org/wiki/Karl_Argauer
M-016,Arsenijević,Milorad,Yugoslavia,https://en.wikipedia.org/wiki/Milorad_Arsenijevi%C4%87
M-017,Azkargorta,Xabier,Spain,https://en.wikipedia.org/wiki/Xabier_Azkargorta
M-018,Baróti,Lajos,Hungary,https://en.wikipedia.org/wiki/Lajos_Bar%C3%B3ti
M-019,Barreau,Gaston,France,https://en.wikipedia.org/wiki/Gaston_Barreau
M-020,Basile,Alfio,Argentina,https://en.wikipedia.org/wiki/Alfio_Basile
M-021,Batteux,Albert,France,https://en.wikipedia.org/wiki/Albert_Batteux
