match_id,match_name,tournament_id,tournament_name,stage_name,group_name,group_stage,knockout_stage,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,away_team_id,score,home_team_score,away_team_score,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw
M-1930-01,France v Mexico,WC-1930,1930 FIFA World Cup,group stage,Group 1,1,0,1930-07-13,15:00,S-185,Estadio Pocitos,Montevideo,Uruguay,T-28,T-44,4–1,4,1,0,0,0-0,0,0,home team win,1,0,0
M-1930-02,United States v Belgium,WC-1930,1930 FIFA World Cup,group stage,Group 4,1,0,1930-07-13,15:00,S-184,Estadio Gran Parque Central,Montevideo,Uruguay,T-79,T-06,3–0,3,0,0,0,0-0,0,0,home team win,1,0,0
M-1930-03,Yugoslavia v Brazil,WC-1930,1930 FIFA World Cup,group stage,Group 2,1,0,1930-07-14,12:45,S-184,Estadio Gran Parque Central,Montevideo,Uruguay,T-83,T-09,2–1,2,1,0,0,0-0,0,0,home team win,1,0,0
M-1930-04,Romania v Peru,WC-1930,1930 FIFA World Cup,group stage,Group 3,1,0,1930-07-14,14:50,S-185,Estadio Pocitos,Montevideo,Uruguay,T-58,T-54,3–1,3,1,0,0,0-0,0,0,home team win,1,0,0
M-1930-05,Argentina v France,WC-1930,1930 FIFA World Cup,group stage,Group 1,1,0,1930-07-15,16:00,S-184,Estadio Gran Parque Central,Montevideo,Uruguay,T-03,T-28,1–0,1,0,0,0,0-0,0,0,home team win,1,0,0
M-1930-06,Chile v Mexico,WC-1930,1930 FIFA World Cup,group stage,Group 1,1,0,1930-07-16,14:45,S-184,Estadio Gran Parque Central,Montevideo,Uruguay,T-13,T-44,3–0,3,0,0,0,0-0,0,0,home team win,1,0,0
M-1930-07,Yugoslavia v Bolivia,WC-1930,1930 FIFA World Cup,group stage,Group 2,1,0,1930-07-17,12:45,S-184,Estadio Gran Parque Central,Montevideo,Uruguay,T-83,T-07,4–0,4,0,0,0,0-0,0,0,home team win,1,0,0
M-1930-08,United States v Paraguay,WC-1930,1930 FIFA World Cup,group stage,Group 4,1,0,1930-07-17,14:45,S-184,Estadio Gran Parque Central,Montevideo,Uruguay,T-79,T-53,3–0,3,0,0,0,0-0,0,0,home team win,1,0,0
M-1930-09,Uruguay v Peru,WC-1930,1930 FIFA World Cup,group stage,Group 3,1,0,1930-07-18,14:30,S-183,Estadio Centenario,Montevideo,Uruguay,T-80,T-54,1–0,1,0,0,0,0-0,0,0,home team win,1,0,0
M-1930-10,Chile v France,WC-1930,1930 FIFA World Cup,group stage,Group 1,1,0,1930-07-19,12:50,S-183,Estadio Centenario,Montevideo,Uruguay,T-13,T-28,1–0,1,0,0,0,0-0,0,0,home team win,1,0,0
