penalty_kick_id,match_id,team_id,home_team,away_team,player_id,converted
PK-001,M-1982-50,T-82,1,0,P-02728,1
PK-002,M-1982-50,T-82,1,0,P-02216,1
PK-003,M-1982-50,T-82,1,0,P-09412,0
PK-004,M-1982-50,T-82,1,0,P-05795,1
PK-005,M-1982-50,T-82,1,0,P-08975,1
PK-006,M-1982-50,T-82,1,0,P-08438,1
PK-007,M-1982-50,T-28,0,1,P-01018,1
PK-008,M-1982-50,T-28,0,1,P-09137,1
PK-009,M-1982-50,T-28,0,1,P-00360,1
PK-010,M-1982-50,T-28,0,1,P-00182,0
PK-011,M-1982-50,T-28,0,1,P-07530,1
PK-012,M-1982-50,T-28,0,1,P-05135,0
PK-013,M-1986-45,T-09,1,0,P-03716,0
PK-014,M-1986-45,T-09,1,0,P-00941,1
PK-015,M-1986-45,T-09,1,0,P-03653,1
PK-016,M-1986-45,T-09,1,0,P-02338,1
PK-017,M-1986-45,T-09,1,0,P-04381,0
PK-018,M-1986-45,T-28,0,1,P-09124,1
PK-019,M-1986-45,T-28,0,1,P-09137,1
PK-020,M-1986-45,T-28,0,1,P-05885,1
PK-021,M-1986-45,T-28,0,1,P-07530,0
PK-022,M-1986-45,T-28,0,1,P-07435,1
PK-023,M-1986-46,T-82,1,0,P-03310,1
PK-024,M-1986-46,T-82,1,0,P-07217,1
PK-025,M-1986-46,T-82,1,0,P-01993,1
PK-026,M-1986-46,T-82,1,0,P-05795,1
PK-027,M-1986-46,T-44,0,1,P-08533,1
PK-028,M-1986-46,T-44,0,1,P-07688,0
PK-029,M-1986-46,T-44,0,1,P-05997,0
PK-030,M-1986-48,T-70,1,0,P-07721,1
PK-031,M-1986-48,T-70,1,0,P-06389,0
PK-032,M-1986-48,T-70,1,0,P-02944,1
PK-033,M-1986-48,T-70,1,0,P-07608,1
PK-034,M-1986-48,T-70,1,0,P-09585,1
PK-035,M-1986-48,T-06,0,1,P-03746,1
PK-036,M-1986-48,T-06,0,1,P-00872,1
PK-037,M-1986-48,T-06,0,1,P-09131,1
PK-038,M-1986-48,T-06,0,1,P-06386,1
PK-039,M-1986-48,T-06,0,1,P-03996,1
PK-040,M-1990-41,T-57,1,0,P-02909,1
PK-041,M-1990-41,T-57,1,0,P-08181,1
