player_id,lastname,firstname,birth_date,goal_keeper,defender,midfielder,forward,count_tournaments,list_tournaments,player_wikipedia_link
P-05074,A'Court,Alan,1934-09-30,0,0,0,1,1,1958,https://en.wikipedia.org/wiki/Alan_A%27Court
P-00942,Abadzhiev,Stefan,1934-07-03,0,0,0,1,1,1966,https://en.wikipedia.org/wiki/Stefan_Abadzhiev
P-03051,Abalo,Jean-Paul,1975-06-26,0,1,0,0,1,2006,https://en.wikipedia.org/wiki/Jean-Paul_Abalo
P-03371,Abanda,Patrice,1978-08-03,0,1,0,0,1,1998,https://en.wikipedia.org/wiki/Patrice_Abanda
P-04977,Abate,Ignazio,1986-11-12,0,1,0,0,1,2014,https://en.wikipedia.org/wiki/Ignazio_Abate
P-06675,Abbadie,Julio,1930-09-07,0,0,0,1,1,1954,https://en.wikipedia.org/wiki/Julio_Abbadie
P-02825,Abbes,Claude,1927-05-24,1,0,0,0,2,1954. 1958,https://en.wikipedia.org/wiki/Claude_Abbes
P-06214,Abbiati,Christian,1977-07-08,1,0,0,0,1,2002,https://en.wikipedia.org/wiki/Christian_Abbiati
P-05883,Abbondanzieri,Roberto,1972-08-19,1,0,0,0,1,2006,https://en.wikipedia.org/wiki/Roberto_Abbondanzieri
P-06019,Abd Al-Jawad,Mohamed,1962-11-28,0,1,0,0,1,1994,https://en.wikipedia.org/wiki/Mohamed_Abd_Al-Jawad
P-06687,Abdel Rahman,Adel,1967-12-11,0,0,0,1,1,1990,https://en.wikipedia.org/wiki/Adel_Abdel_Rahman
P-08319,Abdel Shafy,Mohamed,1985-07-01,0,1,0,0,1,2018,https://en.wikipedia.org/wiki/Mohamed_Abdel_Shafy
P-00067,Abdel-Hamid,Gamal,1957-11-24,0,0,1,0,1,1990,https://en.wikipedia.org/wiki/Gamal_Abdel-Hamid
P-02311,Abdelghani,Magdi,1959-07-27,0,0,1,0,1,1990,https://en.wikipedia.org/wiki/Magdi_Abdelghani
P-09113,Abdellah,Nacer,1966-03-03,0,1,0,0,1,1994,https://en.wikipedia.org/wiki/Nacer_Abdellah
P-01763,Abdollahi,Nasrollah,1951-09-02,0,1,0,0,1,1978,https://en.wikipedia.org/wiki/Nasrollah_Abdollahi
P-02876,Abdoun,Djamel,1986-02-14,0,0,1,0,1,2010,https://en.wikipedia.org/wiki/Djamel_Abdoun
P-04573,Abdulghani,Hussein,1977-01-21,0,1,0,0,2,2002. 2006,https://en.wikipedia.org/wiki/Hussein_Sulaimani
P-04135,Abdulghani,Hussein,1977-01-23,0,1,0,0,1,1998,https://en.wikipedia.org/wiki/Hussein_Abdulghani
P-01597,Abdullah,Majed,1959-11-01,0,0,0,1,1,1994,https://en.wikipedia.org/wiki/Majed_Abdullah
P-08180,Abdullahi,Shehu,1993-03-12,0,1,0,0,1,2018,https://en.wikipedia.org/wiki/Shehu_Abdullahi
P-00800,Abdulrahman,Fahad,1962-10-10,0,0,1,0,1,1990,https://en.wikipedia.org/wiki/Fahad_Abdulrahman
P-05270,Abe,Yuki,1981-09-06,0,0,1,0,1,2010,https://en.wikipedia.org/wiki/Yuki_Abe
P-08280,Abedzadeh,Ahmad Reza,1966-05-25,1,0,0,0,1,1998,https://en.wikipedia.org/wiki/Ahmad_Reza_Abedzadeh
P-04364,Abedzadeh,Amir,1993-04-26,1,0,0,0,1,2018,https://en.wikipedia.org/wiki/Amir_Abedzadeh
P-09062,Abega,Théophile,1954-07-09,0,0,1,0,1,1982,https://en.wikipedia.org/wiki/Th%C3%A9ophile_Abega
P-05367,Abegglen,André,1909-03-07,0,0,0,1,2,1934. 1938,https://en.wikipedia.org/wiki/Andr%C3%A9_Abegglen
P-01401,Abel,not applicable,1952-09-01,0,1,0,0,1,1978,https://en.wikipedia.org/wiki/Abel_Braga
P-08746,Abelardo,not applicable,1970-03-19,0,1,0,0,2,1994. 1998,https://en.wikipedia.org/wiki/Abelardo_Fern%C3%A1ndez
P-08688,Abeledo,Ramón,1937-04-29,0,0,1,0,1,1962,https://en.wikipedia.org/wiki/Ram%C3%B3n_Abeledo
P-01155,Abid,Anad,1955-08-03,0,0,0,1,1,1986,https://en.wikipedia.org/wiki/Anad_Abid
