match_id,tournament_id,referee_id
M-1930-01,WC-1930,R-195
M-1930-02,WC-1930,R-204
M-1930-03,WC-1930,R-333
M-1930-04,WC-1930,R-365
M-1930-05,WC-1930,R-092
M-1930-06,WC-1930,R-070
M-1930-07,WC-1930,R-222
M-1930-08,WC-1930,R-204
M-1930-09,WC-1930,R-182
M-1930-10,WC-1930,R-333
M-1930-11,WC-1930,R-303
M-1930-12,WC-1930,R-031
M-1930-13,WC-1930,R-347
M-1930-14,WC-1930,R-092
M-1930-15,WC-1930,R-182
M-1930-16,WC-1930,R-182
M-1930-17,WC-1930,R-092
M-1930-18,WC-1930,R-182
M-1934-01,WC-1934,R-352
M-1934-02,WC-1934,R-182
M-1934-03,WC-1934,R-224
M-1934-04,WC-1934,R-033
M-1934-05,WC-1934,R-234
M-1934-06,WC-1934,R-043
M-1934-07,WC-1934,R-049
M-1934-08,WC-1934,R-108
M-1934-09,WC-1934,R-224
M-1934-10,WC-1934,R-041
M-1934-11,WC-1934,R-033
M-1934-12,WC-1934,R-026
M-1934-13,WC-1934,R-234
M-1934-14,WC-1934,R-033
M-1934-15,WC-1934,R-108
M-1934-16,WC-1934,R-064
M-1934-17,WC-1934,R-108
M-1938-01,WC-1938,R-182
M-1938-02,WC-1938,R-305
M-1938-03,WC-1938,R-376
M-1938-04,WC-1938,R-079
M-1938-05,WC-1938,R-041
M-1938-06,WC-1938,R-108
M-1938-07,WC-1938,R-186
M-1938-08,WC-1938,R-043
M-1938-09,WC-1938,R-108
M-1938-10,WC-1938,R-364
M-1938-11,WC-1938,R-033
M-1938-12,WC-1938,R-026
M-1938-13,WC-1938,R-173
M-1938-14,WC-1938,R-062
M-1938-15,WC-1938,R-186
M-1938-16,WC-1938,R-376
M-1938-17,WC-1938,R-182
M-1938-18,WC-1938,R-062
M-1950-01,WC-1950,R-283
M-1950-02,WC-1950,R-124
M-1950-03,WC-1950,R-349
M-1950-04,WC-1950,R-361
M-1950-05,WC-1950,R-202
M-1950-06,WC-1950,R-023
M-1950-07,WC-1950,R-185
M-1950-08,WC-1950,R-210
M-1950-09,WC-1950,R-090
M-1950-10,WC-1950,R-238
M-1950-11,WC-1950,R-139
M-1950-12,WC-1950,R-128
M-1950-13,WC-1950,R-124
M-1950-14,WC-1950,R-110
M-1950-15,WC-1950,R-283
M-1950-16,WC-1950,R-108
M-1950-17,WC-1950,R-110
M-1950-18,WC-1950,R-139
M-1950-19,WC-1950,R-185
M-1950-20,WC-1950,R-124
M-1950-21,WC-1950,R-349
M-1950-22,WC-1950,R-283
M-1954-01,WC-1954,R-377
M-1954-02,WC-1954,R-139
M-1954-03,WC-1954,R-120
M-1954-04,WC-1954,R-110
M-1954-05,WC-1954,R-361
M-1954-06,WC-1954,R-363
M-1954-07,WC-1954,R-084
M-1954-08,WC-1954,R-307
M-1954-09,WC-1954,R-252
M-1954-10,WC-1954,R-118
M-1954-11,WC-1954,R-326
M-1954-12,WC-1954,R-020
M-1954-13,WC-1954,R-192
M-1954-14,WC-1954,R-213
M-1954-15,WC-1954,R-327
M-1954-16,WC-1954,R-380
M-1954-17,WC-1954,R-363
M-1954-18,WC-1954,R-139
M-1954-19,WC-1954,R-118
M-1954-20,WC-1954,R-327
M-1954-21,WC-1954,R-110
M-1954-22,WC-1954,R-380
M-1954-23,WC-1954,R-139
M-1954-24,WC-1954,R-252
M-1954-25,WC-1954,R-377
M-1954-26,WC-1954,R-192
M-1958-01,WC-1958,R-189
M-1958-02,WC-1958,R-185
M-1958-03,WC-1958,R-311
M-1958-04,WC-1958,R-126
M-1958-05,WC-1958,R-377
M-1958-06,WC-1958,R-073
M-1958-07,WC-1958,R-143
M-1958-08,WC-1958,R-380
M-1958-09,WC-1958,R-006
M-1958-10,WC-1958,R-110
M-1958-11,WC-1958,R-252
M-1958-12,WC-1958,R-139
M-1958-13,WC-1958,R-187
M-1958-14,WC-1958,R-106
M-1958-15,WC-1958,R-159
M-1958-16,WC-1958,R-242
M-1958-17,WC-1958,R-353
M-1958-18,WC-1958,R-110
M-1958-19,WC-1958,R-061
M-1958-20,WC-1958,R-284
M-1958-21,WC-1958,R-206
M-1958-22,WC-1958,R-111
M-1958-23,WC-1958,R-143
M-1958-24,WC-1958,R-051
M-1958-25,WC-1958,R-143
M-1958-26,WC-1958,R-189
M-1958-27,WC-1958,R-106
M-1958-28,WC-1958,R-311
M-1958-29,WC-1958,R-126
M-1958-30,WC-1958,R-185
M-1958-31,WC-1958,R-377
M-1958-32,WC-1958,R-139
M-1958-33,WC-1958,R-380
M-1958-34,WC-1958,R-284
M-1958-35,WC-1958,R-143
M-1962-01,WC-1962,R-101
M-1962-02,WC-1962,R-022
M-1962-03,WC-1962,R-099
M-1962-04,WC-1962,R-126
M-1962-05,WC-1962,R-106
M-1962-06,WC-1962,R-091
M-1962-07,WC-1962,R-327
M-1962-08,WC-1962,R-151
M-1962-09,WC-1962,R-123
M-1962-10,WC-1962,R-022
M-1962-11,WC-1962,R-310
M-1962-12,WC-1962,R-189
M-1962-13,WC-1962,R-116
M-1962-14,WC-1962,R-151
M-1962-15,WC-1962,R-335
M-1962-16,WC-1962,R-126
M-1962-17,WC-1962,R-158
M-1962-18,WC-1962,R-091
M-1962-19,WC-1962,R-056
M-1962-20,WC-1962,R-378
M-1962-21,WC-1962,R-290
M-1962-22,WC-1962,R-189
M-1962-23,WC-1962,R-099
M-1962-24,WC-1962,R-045
M-1962-25,WC-1962,R-310
M-1962-26,WC-1962,R-151
M-1962-27,WC-1962,R-189
M-1962-28,WC-1962,R-378
M-1962-29,WC-1962,R-378
M-1962-30,WC-1962,R-099
M-1962-31,WC-1962,R-126
M-1962-32,WC-1962,R-189
M-1966-01,WC-1966,R-380
M-1966-02,WC-1966,R-265
M-1966-03,WC-1966,R-340
M-1966-04,WC-1966,R-126
M-1966-05,WC-1966,R-021
M-1966-06,WC-1966,R-298
M-1966-07,WC-1966,R-060
M-1966-08,WC-1966,R-099
M-1966-09,WC-1966,R-123
M-1966-10,WC-1966,R-028
M-1966-11,WC-1966,R-086
M-1966-12,WC-1966,R-162
M-1966-13,WC-1966,R-379
M-1966-14,WC-1966,R-073
M-1966-15,WC-1966,R-172
M-1966-16,WC-1966,R-194
M-1966-17,WC-1966,R-196
M-1966-18,WC-1966,R-061
M-1966-19,WC-1966,R-228
M-1966-20,WC-1966,R-310
M-1966-21,WC-1966,R-378
M-1966-22,WC-1966,R-214
M-1966-23,WC-1966,R-133
M-1966-24,WC-1966,R-002
M-1966-25,WC-1966,R-172
M-1966-26,WC-1966,R-021
M-1966-27,WC-1966,R-126
M-1966-28,WC-1966,R-119
M-1966-29,WC-1966,R-194
M-1966-30,WC-1966,R-310
M-1966-31,WC-1966,R-086
M-1966-32,WC-1966,R-099
M-1970-01,WC-1970,R-340
M-1970-02,WC-1970,R-091
M-1970-03,WC-1970,R-198
M-1970-04,WC-1970,R-304
M-1970-05,WC-1970,R-277
M-1970-06,WC-1970,R-332
M-1970-07,WC-1970,R-035
M-1970-08,WC-1970,R-354
M-1970-09,WC-1970,R-306
M-1970-10,WC-1970,R-132
M-1970-11,WC-1970,R-094
M-1970-12,WC-1970,R-028
M-1970-13,WC-1970,R-162
M-1970-14,WC-1970,R-331
M-1970-15,WC-1970,R-170
M-1970-16,WC-1970,R-254
M-1970-17,WC-1970,R-150
M-1970-18,WC-1970,R-180
M-1970-19,WC-1970,R-217
M-1970-20,WC-1970,R-005
M-1970-21,WC-1970,R-076
M-1970-22,WC-1970,R-362
M-1970-23,WC-1970,R-203
M-1970-24,WC-1970,R-286
M-1970-25,WC-1970,R-198
M-1970-26,WC-1970,R-306
M-1970-27,WC-1970,R-354
M-1970-28,WC-1970,R-076
M-1970-29,WC-1970,R-254
M-1970-30,WC-1970,R-378
M-1970-31,WC-1970,R-304
M-1970-32,WC-1970,R-132
M-1974-01,WC-1974,R-306
M-1974-02,WC-1974,R-024
M-1974-03,WC-1974,R-244
M-1974-04,WC-1974,R-309
M-1974-05,WC-1974,R-262
M-1974-06,WC-1974,R-258
M-1974-07,WC-1974,R-193
M-1974-08,WC-1974,R-336
M-1974-09,WC-1974,R-243
M-1974-10,WC-1974,R-015
M-1974-11,WC-1974,R-350
M-1974-12,WC-1974,R-095
M-1974-13,WC-1974,R-332
M-1974-14,WC-1974,R-371
M-1974-15,WC-1974,R-166
M-1974-16,WC-1974,R-329
M-1974-17,WC-1974,R-246
M-1974-18,WC-1974,R-137
M-1974-19,WC-1974,R-279
M-1974-20,WC-1974,R-035
M-1974-21,WC-1974,R-046
M-1974-22,WC-1974,R-191
M-1974-23,WC-1974,R-301
M-1974-24,WC-1974,R-368
M-1974-25,WC-1974,R-214
M-1974-26,WC-1974,R-336
M-1974-27,WC-1974,R-091
M-1974-28,WC-1974,R-035
M-1974-29,WC-1974,R-198
M-1974-30,WC-1974,R-306
M-1974-31,WC-1974,R-132
M-1974-32,WC-1974,R-166
M-1974-33,WC-1974,R-191
M-1974-34,WC-1974,R-332
M-1974-35,WC-1974,R-340
M-1974-36,WC-1974,R-263
M-1974-37,WC-1974,R-015
M-1974-38,WC-1974,R-332
M-1978-01,WC-1978,R-076
M-1978-02,WC-1978,R-279
M-1978-03,WC-1978,R-138
M-1978-04,WC-1978,R-129
M-1978-05,WC-1978,R-258
M-1978-06,WC-1978,R-336
M-1978-07,WC-1978,R-137
M-1978-08,WC-1978,R-113
M-1978-09,WC-1978,R-035
M-1978-10,WC-1978,R-219
M-1978-11,WC-1978,R-048
M-1978-12,WC-1978,R-104
M-1978-13,WC-1978,R-080
M-1978-14,WC-1978,R-134
M-1978-15,WC-1978,R-274
M-1978-16,WC-1978,R-244
M-1978-17,WC-1978,R-075
M-1978-18,WC-1978,R-246
M-1978-19,WC-1978,R-141
M-1978-20,WC-1978,R-170
M-1978-21,WC-1978,R-375
M-1978-22,WC-1978,R-044
M-1978-23,WC-1978,R-157
M-1978-24,WC-1978,R-191
M-1978-25,WC-1978,R-138
M-1978-26,WC-1978,R-209
M-1978-27,WC-1978,R-279
M-1978-28,WC-1978,R-113
M-1978-29,WC-1978,R-259
M-1978-30,WC-1978,R-288
M-1978-31,WC-1978,R-035
M-1978-32,WC-1978,R-258
M-1978-33,WC-1978,R-170
M-1978-34,WC-1978,R-219
M-1978-35,WC-1978,R-317
M-1978-36,WC-1978,R-375
M-1978-37,WC-1978,R-170
M-1978-38,WC-1978,R-134
M-1982-01,WC-1982,R-071
M-1982-02,WC-1982,R-356
M-1982-03,WC-1982,R-178
M-1982-04,WC-1982,R-372
M-1982-05,WC-1982,R-007
M-1982-06,WC-1982,R-322
M-1982-07,WC-1982,R-176
M-1982-08,WC-1982,R-129
M-1982-09,WC-1982,R-154
M-1982-10,WC-1982,R-063
M-1982-11,WC-1982,R-107
M-1982-12,WC-1982,R-121
M-1982-13,WC-1982,R-114
M-1982-14,WC-1982,R-177
M-1982-15,WC-1982,R-260
M-1982-16,WC-1982,R-269
M-1982-17,WC-1982,R-239
M-1982-18,WC-1982,R-012
M-1982-19,WC-1982,R-125
