referee_id,lastname,firstname,country_name,referee_wikipedia_link
R-001,Abdel-Fatah,Essam,Egypt,https://en.wikipedia.org/wiki/Essam_Abd_El_Fatah
R-002,Adair,John,Northern Ireland,not available
R-003,Agnolin,Luigi,Italy,https://en.wikipedia.org/wiki/Luigi_Agnolin
R-004,Aguilar,Joel,El Salvador,https://en.wikipedia.org/wiki/Joel_Aguilar
R-005,Aguilar Elizalde,Abel,Mexico,not available
R-006,Ahlner,Sten,Sweden,not available
R-007,Al-Doy,Ibrahim Youssef,Bahrain,https://en.wikipedia.org/wiki/Ibrahim_Youssef_Al-Doy
R-008,Al-Ghamdi,Khalil,Saudi Arabia,https://en.wikipedia.org/wiki/Khalil_Al_Ghamdi
R-009,Al-Ghandour,Gamal,Egypt,https://en.wikipedia.org/wiki/Gamal_Al-Ghandour
R-010,Al-Shanar,Fallaj,Saudi Arabia,https://en.wikipedia.org/wiki/Fallaj_Al_Shanar
R-011,Al-Sharif,Jamal,Syria,https://en.wikipedia.org/wiki/Jamal_Al_Sharif
R-012,Alghoul,Yousef,Libya,https://en.wikipedia.org/wiki/Yousef_Alghoul
R-013,Amarilla,Carlos,Paraguay,https://en.wikipedia.org/wiki/Carlos_Amarilla
R-014,Angeles,Arturo,United States,https://en.wikipedia.org/wiki/Arturo_Angeles
R-015,Angonese,Aurelio,Italy,not available
R-016,Aquino,Ubaldo,Paraguay,https://en.wikipedia.org/wiki/Ubaldo_Aquino
R-017,Archundia,Benito,Mexico,https://en.wikipedia.org/wiki/Benito_Archundia
R-018,Aristizábal,Gilberto,Colombia,https://en.wikipedia.org/wiki/Gilberto_Aristiz%C3%A1bal
R-019,Arppi Filho,Romualdo,Brazil,https://en.wikipedia.org/wiki/Romualdo_Arppi_Filho
R-020,Asensi,Manuel,Spain,not available
R-021,Ashkenazi,Menachem,Israel,https://en.wikipedia.org/wiki/Menachem_Ashkenazi
R-022,Aston,Kenneth,England,https://en.wikipedia.org/wiki/Ken_Aston
R-023,Azón Romá,Ramón,Spain,not available
R-024,Babacan,Doğan,Turkey,https://en.wikipedia.org/wiki/Do%C4%9Fan_Babacan
R-025,Badilla,Rodrigo,Costa Rica,https://en.wikipedia.org/wiki/Rodrigo_Badilla
R-026,Baert,Louis,Belgium,https://en.wikipedia.org/wiki/Louis_Baert
R-027,Baharmast,Esfandiar,United States,https://en.wikipedia.org/wiki/Esfandiar_Baharmast
R-028,Bahramov,Tofiq,Soviet Union,https://en.wikipedia.org/wiki/Tofiq_Bahramov
R-029,Baldas,Fabio,Italy,https://en.wikipedia.org/wiki/Fabio_Baldas
R-030,Baldassi,Héctor,Argentina,https://en.wikipedia.org/wiki/H%C3%A9ctor_Baldassi
R-031,Balvay,Thomas,France,https://en.wikipedia.org/wiki/Thomas_Balvay
R-032,Bambridge,Chris,Australia,https://en.wikipedia.org/wiki/Chris_Bambridge
R-033,Barlassina,Rinaldo,Italy,https://en.wikipedia.org/wiki/Rinaldo_Barlassina
R-034,Barrancos,Luis,Bolivia,https://en.wikipedia.org/wiki/Luis_Barrancos
R-035,Barreto Ruíz,Ramón,Uruguay,https://en.wikipedia.org/wiki/Ram%C3%B3n_Barreto
R-036,Batres,Carlos Alberto,Guatemala,https://en.wikipedia.org/wiki/Carlos_Alberto_Batres
R-037,Batta,Marc,France,https://en.wikipedia.org/wiki/Marc_Batta
R-038,Belqola,Said,Morocco,https://en.wikipedia.org/wiki/Said_Belqola
R-039,Benkö,Günter,Austria,https://en.wikipedia.org/wiki/G%C3%BCnter_Benk%C3%B6
R-040,Benquerença,Olegário,Portugal,https://en.wikipedia.org/wiki/Oleg%C3%A1rio_Benqueren%C3%A7a
R-041,Beranek,Alois,Austria,https://en.wikipedia.org/wiki/Alois_Beranek
R-042,Bin Nasser,Ali,Tunisia,https://en.wikipedia.org/wiki/Ali_Bin_Nasser
R-043,Birlem,Alfred,Germany,not available
R-044,Biwersi,Ferdinand,West Germany,https://en.wikipedia.org/wiki/Ferdinand_Biwersi
R-045,Blavier,Antoine,Belgium,https://en.wikipedia.org/wiki/Antoine_Blavier
R-046,Boskovic,Tony,Australia,https://en.wikipedia.org/wiki/Tony_Boskovic
R-047,Bouchardeau,Lucien,Niger,https://en.wikipedia.org/wiki/Lucien_Bouchardeau
R-048,Bouzo,Farouk,Syria,https://en.wikipedia.org/wiki/Farouk_Bouzo
R-049,Braun,Eugen,Austria,not available
R-050,Brizio Carter,Arturo,Mexico,https://en.wikipedia.org/wiki/Arturo_Brizio_Carter
R-051,Bronkhorst,Jan,Netherlands,not available
R-052,Brummeier,Horst,Austria,https://en.wikipedia.org/wiki/Horst_Brummeier
R-053,Brych,Felix,Germany,https://en.wikipedia.org/wiki/Felix_Brych
R-054,Bujsaim,Ali,United Arab Emirates,https://en.wikipedia.org/wiki/Ali_Bujsaim
R-055,Busacca,Massimo,Switzerland,https://en.wikipedia.org/wiki/Massimo_Busacca
R-056,Bustamante,Sergio,Chile,not available
R-057,Butenko,Valeri,Soviet Union,https://en.wikipedia.org/wiki/Valeri_Butenko
R-058,Cáceres,Enrique,Paraguay,https://en.wikipedia.org/wiki/Enrique_C%C3%A1ceres
R-059,Çakır,Cüneyt,Turkey,https://en.wikipedia.org/wiki/C%C3%BCneyt_%C3%87ak%C4%B1r
R-060,Callaghan,Leo,Wales,https://en.wikipedia.org/wiki/Leo_Callaghan
