match_id,tournament_id,team_id,opponent_id
M-1930-01,WC-1930,T-28,T-44
M-1930-01,WC-1930,T-44,T-28
M-1930-02,WC-1930,T-79,T-06
M-1930-02,WC-1930,T-06,T-79
M-1930-03,WC-1930,T-83,T-09
M-1930-03,WC-1930,T-09,T-83
M-1930-04,WC-1930,T-58,T-54
M-1930-04,WC-1930,T-54,T-58
M-1930-05,WC-1930,T-03,T-28
M-1930-05,WC-1930,T-28,T-03
M-1930-06,WC-1930,T-13,T-44
M-1930-06,WC-1930,T-44,T-13
M-1930-07,WC-1930,T-83,T-07
M-1930-07,WC-1930,T-07,T-83
M-1930-08,WC-1930,T-79,T-53
M-1930-08,WC-1930,T-53,T-79
M-1930-09,WC-1930,T-80,T-54
M-1930-09,WC-1930,T-54,T-80
M-1930-10,WC-1930,T-13,T-28
M-1930-10,WC-1930,T-28,T-13
M-1930-11,WC-1930,T-03,T-44
M-1930-11,WC-1930,T-44,T-03
M-1930-12,WC-1930,T-09,T-07
M-1930-12,WC-1930,T-07,T-09
M-1930-13,WC-1930,T-53,T-06
M-1930-13,WC-1930,T-06,T-53
M-1930-14,WC-1930,T-80,T-58
M-1930-14,WC-1930,T-58,T-80
M-1930-15,WC-1930,T-03,T-13
M-1930-15,WC-1930,T-13,T-03
M-1930-16,WC-1930,T-03,T-79
M-1930-16,WC-1930,T-79,T-03
M-1930-17,WC-1930,T-80,T-83
M-1930-17,WC-1930,T-83,T-80
M-1930-18,WC-1930,T-80,T-03
M-1930-18,WC-1930,T-03,T-80
M-1934-01,WC-1934,T-05,T-28
M-1934-01,WC-1934,T-28,T-05
M-1934-02,WC-1934,T-20,T-58
M-1934-02,WC-1934,T-58,T-20
M-1934-03,WC-1934,T-29,T-06
M-1934-03,WC-1934,T-06,T-29
M-1934-04,WC-1934,T-34,T-25
M-1934-04,WC-1934,T-25,T-34
M-1934-05,WC-1934,T-39,T-79
M-1934-05,WC-1934,T-79,T-39
M-1934-06,WC-1934,T-70,T-09
M-1934-06,WC-1934,T-09,T-70
M-1934-07,WC-1934,T-71,T-03
M-1934-07,WC-1934,T-03,T-71
M-1934-08,WC-1934,T-72,T-46
M-1934-08,WC-1934,T-46,T-72
M-1934-09,WC-1934,T-05,T-34
M-1934-09,WC-1934,T-34,T-05
M-1934-10,WC-1934,T-20,T-72
M-1934-10,WC-1934,T-72,T-20
M-1934-11,WC-1934,T-29,T-71
M-1934-11,WC-1934,T-71,T-29
M-1934-12,WC-1934,T-39,T-70
M-1934-12,WC-1934,T-70,T-39
M-1934-13,WC-1934,T-39,T-70
M-1934-13,WC-1934,T-70,T-39
M-1934-14,WC-1934,T-20,T-29
M-1934-14,WC-1934,T-29,T-20
M-1934-15,WC-1934,T-39,T-05
M-1934-15,WC-1934,T-05,T-39
M-1934-16,WC-1934,T-29,T-05
M-1934-16,WC-1934,T-05,T-29
M-1934-17,WC-1934,T-39,T-20
M-1934-17,WC-1934,T-20,T-39
M-1938-01,WC-1938,T-72,T-29
M-1938-01,WC-1938,T-29,T-72
M-1938-02,WC-1938,T-18,T-58
M-1938-02,WC-1938,T-58,T-18
M-1938-03,WC-1938,T-28,T-06
M-1938-03,WC-1938,T-06,T-28
M-1938-04,WC-1938,T-34,T-22
M-1938-04,WC-1938,T-22,T-34
M-1938-05,WC-1938,T-39,T-51
M-1938-05,WC-1938,T-51,T-39
M-1938-06,WC-1938,T-09,T-55
M-1938-06,WC-1938,T-55,T-09
M-1938-07,WC-1938,T-20,T-46
M-1938-07,WC-1938,T-46,T-20
M-1938-08,WC-1938,T-18,T-58
M-1938-08,WC-1938,T-58,T-18
M-1938-09,WC-1938,T-72,T-29
M-1938-09,WC-1938,T-29,T-72
M-1938-10,WC-1938,T-09,T-20
M-1938-10,WC-1938,T-20,T-09
M-1938-11,WC-1938,T-34,T-72
M-1938-11,WC-1938,T-72,T-34
M-1938-12,WC-1938,T-39,T-28
M-1938-12,WC-1938,T-28,T-39
M-1938-13,WC-1938,T-71,T-18
M-1938-13,WC-1938,T-18,T-71
M-1938-14,WC-1938,T-09,T-20
M-1938-14,WC-1938,T-20,T-09
M-1938-15,WC-1938,T-34,T-71
M-1938-15,WC-1938,T-71,T-34
M-1938-16,WC-1938,T-39,T-09
M-1938-16,WC-1938,T-09,T-39
M-1938-17,WC-1938,T-09,T-71
